x	y
2.35841970857744e-001	-4.00648940964398e+000
2.64683791497672e-001	-3.49139251915277e+000
3.03049421661409e-001	-2.89058134294727e+000
3.22427519903861e-001	-2.40387561964849e+000
3.60703019378098e-001	-1.88904912122578e+000
3.89244404386360e-001	-1.66056782334385e+000
4.08261979870813e-001	-1.51780081117621e+000
4.27279555355265e-001	-1.37503379900856e+000
4.36773321315908e-001	-1.31798107255521e+000
4.46267087276551e-001	-1.26092834610185e+000
4.55700766110861e-001	-1.26119873817035e+000
4.65134444945170e-001	-1.26146913023885e+000
4.83941715487457e-001	-1.31933303289770e+000
5.21436082319363e-001	-1.54970707525913e+000
5.58870362024936e-001	-1.83740423614241e+000
5.86840919333033e-001	-2.15349256421812e+000
6.05407841369986e-001	-2.44064894096440e+000
6.14571128135797e-001	-2.69887336638125e+000
6.33168093735917e-001	-2.95736818386661e+000
6.51494667267538e-001	-3.47381703470032e+000
6.69971458614992e-001	-3.84695808922938e+000
6.79224876070302e-001	-4.01919783686345e+000
6.88568424215112e-001	-4.10545290671474e+000
