x1	y1
6.46424941317630e-001	1.01053271794072e+000
6.50452133517186e-001	2.67753800937357e+000
6.66813362115114e-001	6.25628262682533e+000
6.83586134910439e-001	1.37276058007044e+001
7.09539655118897e-001	2.91891939222848e+001
7.50329140177910e-001	6.40472580454334e+001
7.73994728042417e-001	1.75120482336998e+002
7.88550871639717e-001	2.89571053573198e+002
7.98406735070173e-001	4.22249163031716e+002
7.98406735070173e-001	1.85000228304180e+003
8.03380765572451e-001	3.81196082703212e+003
8.18489558130455e-001	5.21987141681239e+003
8.39077536977073e-001	6.30328045087985e+003
9.04001079335577e-001	8.36424737860316e+003
1.02993767296312e+000	1.34027504940328e+004
1.19136870311255e+000	2.27901130172823e+004
1.36202991906648e+000	3.78165123642115e+004
1.44032927644965e+000	5.01812773325226e+004
1.62072491190567e+000	8.29774173352502e+004
1.88123485324735e+000	1.76436005005672e+005
2.20938554067670e+000	4.10819583162392e+005
2.41175135139075e+000	5.82546294620984e+005
2.71381382051479e+000	7.25919407364760e+005
2.88770236420750e+000	7.97704092523305e+005
3.03480178817522e+000	8.76587418345028e+005
3.13052027293565e+000	8.76587418345028e+005
3.22925774508449e+000	7.97704092523305e+005
3.41489889930969e+000	7.25919407364760e+005
3.54455139380431e+000	7.20866463002963e+005
3.71740690513990e+000	7.70324817091480e+005
3.88794535689606e+000	8.64426477018373e+005
3.95287232165909e+000	9.46596033649550e+005
4.24405668272613e+000	1.31904624421436e+006
4.39304680469546e+000	1.64368270252201e+006
4.53786326797524e+000	2.03395978483924e+006
4.64238632222835e+000	2.36354820206269e+006
4.75587614905256e+000	2.56124252679884e+006
4.93984880500032e+000	2.57020342089850e+006
5.14867219738055e+000	2.23509390702763e+006
5.44089932326907e+000	1.80622312244193e+006
5.61250678738306e+000	1.54353225618066e+006
5.78952679820852e+000	1.49576915110991e+006
5.89840762178763e+000	1.49576915110991e+006
6.16049269719543e+000	1.49576915110991e+006
6.28068270502681e+000	1.59839326265770e+006
6.47430790832904e+000	1.83804171212084e+006
6.76198207145402e+000	1.98483683197377e+006
6.88915138988517e+000	1.98483683197377e+006
7.19525837286893e+000	1.75033130389848e+006
7.51496666604729e+000	1.49576915110991e+006
7.89777871808354e+000	1.27822964054229e+006
8.30009119822497e+000	1.16320288667871e+006
8.45618698928756e+000	1.16320288667871e+006
8.66889073990859e+000	1.16320288667871e+006
8.77724063374412e+000	1.23867606698961e+006
8.99802004712108e+000	1.31904624421436e+006
9.16724144767059e+000	1.36116620925632e+006
9.63422030014504e+000	1.36116620925632e+006
1.00622994557009e+001	1.31904624421436e+006
1.04443319150065e+001	1.23867606698961e+006

x2	y2
7.64440216537941e-001	1.07610005697044e+000
7.83668658551955e-001	2.67753800937357e+000
7.93463500649277e-001	5.18095158763038e+000
8.03380765572451e-001	1.06754379061221e+001
8.23588703527292e-001	1.87977632488303e+001
8.33882494424957e-001	3.30998977528063e+001
8.65542273734807e-001	6.20653779109120e+001
8.65542273734807e-001	9.05030166266432e+001
8.65542273734807e-001	1.40533214930837e+002
8.65542273734807e-001	2.32379162999562e+002
8.65542273734807e-001	4.64004518955764e+002
8.65542273734807e-001	6.98211502034347e+002
8.65542273734807e-001	1.63142725695576e+003
8.70934554988784e-001	2.61417572728390e+003
8.87313798912488e-001	3.93368488142382e+003
9.21002189351150e-001	5.38655306468032e+003
9.92264643674544e-001	8.63133566965765e+003
1.13049725429628e+000	1.38307289555544e+004
1.34521645760522e+000	2.43537333785772e+004
1.49501384811386e+000	3.78165123642115e+004
1.67184302228294e+000	6.05966391033112e+004
1.86958742534891e+000	1.03399366149695e+005

x3	y3
1.11654192794764e+000	1.01053271794072e+000
1.13049725429628e+000	7.79604474134767e+000
1.15893335751398e+000	2.82859626936156e+001
1.20293425042038e+000	7.03807603700920e+001
1.26421166512252e+000	1.75120482336998e+002
1.42254925528998e+000	6.76606025893672e+002
1.81242310124960e+000	3.15676028031658e+003
2.21091069499448e+000	8.36424737860316e+003
2.66371855705309e+000	2.67620242511999e+004
2.96033854459498e+000	6.45283874867230e+004
3.13052027293565e+000	1.13624317940961e+005
3.18939444995021e+000	1.65685666984294e+005
3.20926420377494e+000	2.49315758111605e+005
3.24937584506814e+000	4.25421141194313e+005
3.31048528120350e+000	8.76587418345028e+005
3.31048528120350e+000	1.16320288667871e+006
3.41489889930969e+000	1.36116620925632e+006
3.61121205337588e+000	1.40463115478165e+006
3.81881071122879e+000	1.59282053925385e+006
3.93925705348744e+000	1.92341798583418e+006
4.08881770476863e+000	2.63381367815774e+006
4.21778014201479e+000	3.18047418090037e+006
4.40518957477258e+000	2.80470587324548e+006
4.54413046798762e+000	2.47333403385491e+006
4.68745359526540e+000	2.11362085565773e+006
4.86542081168191e+000	1.98483683197377e+006
5.01887752494425e+000	2.18111328584563e+006
5.27453891236236e+000	2.32263249817424e+006
5.50890350993301e+000	2.18111328584563e+006
5.75368167454848e+000	1.86389968617798e+006
6.08444502372166e+000	1.75033130389848e+006
6.59606707824629e+000	1.59282053925385e+006
6.97525684952311e+000	1.49576915110991e+006
7.51496666604729e+000	1.40463115478165e+006
8.09643647683928e+000	1.27822964054229e+006
8.94230994290593e+000	1.16320288667871e+006
9.51529149435433e+000	1.05852728857364e+006
1.00622994557009e+001	1.02577219071161e+006
1.03154027559012e+001	9.94030667508948e+005

x4	y4
1.23319240662472e+000	9.79262765407392e-001
1.23319240662472e+000	2.14870938873198e+000
1.24087512819543e+000	4.71472234043764e+000
1.25638445833201e+000	9.41415074977652e+000
1.29601117039494e+000	2.13162461140358e+001
1.35359708291608e+000	6.40472580454334e+001
1.43141165972120e+000	1.49651562891983e+002
1.53261886478711e+000	3.38852609305343e+002
1.72457341194916e+000	8.17038810999581e+002
1.98938187559548e+000	1.97003771063799e+003
2.51891316103905e+000	1.01002865354235e+004
2.64722648016993e+000	1.47281210719670e+004
2.88770236420750e+000	2.43537333785772e+004

x5	y5
1.34521645760522e+000	9.48960431155070e-001
1.35359708291608e+000	2.94231426559830e+000
1.37051529132709e+000	8.04498910809099e+000
1.40498871807582e+000	1.09287346353206e+002
1.42254925528998e+000	4.49646350214266e+002
1.43141165972120e+000	1.11880413505812e+003
1.44032927644965e+000	5.91921827780854e+003
1.45833152481957e+000	8.36424737860316e+003
1.53261886478711e+000	1.38307289555544e+004
1.63082193989092e+000	1.83529257998538e+004
1.72457341194916e+000	2.28698476722907e+004
1.76795268364781e+000	2.51314001230496e+004
1.80120171261923e+000	3.13166030786281e+004
1.85801211102864e+000	3.90240744082079e+004
2.10374597308580e+000	6.65889167798210e+004
2.35257554984967e+000	8.04097618250960e+004
2.55039630943347e+000	1.10108323885977e+005
2.74773297443705e+000	2.19859471039728e+005
2.86982351988287e+000	4.53024138801297e+005
2.96442704014183e+000	6.74583560016207e+005
3.04109096244801e+000	7.86637503541769e+005
3.12836074359691e+000	8.28946579557883e+005
3.33110942431597e+000	9.63271354883207e+005
3.52260575170630e+000	1.20034644031719e+006
3.70204712466912e+000	1.40463115478165e+006
3.96379841051725e+000	1.64368270252201e+006
4.24405668272613e+000	2.11362085565773e+006
4.51599605834938e+000	2.04821691310695e+006
4.74604068727567e+000	1.59282053925385e+006
5.17717430523404e+000	1.49576915110991e+006
5.54322367895075e+000	1.49576915110991e+006
6.12235078504363e+000	1.64368270252201e+006
6.59606707824629e+000	1.59282053925385e+006
7.37624519879123e+000	1.40463115478165e+006
7.84888061904080e+000	1.20034644031719e+006
8.14687683540165e+000	1.02577219071161e+006
8.83192236514791e+000	1.05852728857364e+006
9.16724144767059e+000	1.16320288667871e+006
9.28182007917268e+000	1.23867606698961e+006
9.57457124244767e+000	1.44948402889107e+006
9.93808626350752e+000	1.44948402889107e+006
1.00622994557009e+001	1.44948402889107e+006

x6	y6
1.46741685084234e+000	1.04280118687433e+000
1.46741685084234e+000	1.77938881328260e+000
1.47655877795172e+000	5.18095158763038e+000
1.47655877795172e+000	1.13681023236659e+001
1.48575765876939e+000	2.26993280380412e+001
1.48575765876939e+000	4.12462638290135e+001
1.50432770301414e+000	9.33929713293128e+001
1.51369958272349e+000	2.25188415715754e+002
1.54216699689442e+000	4.94110957931526e+002
1.54216699689442e+000	1.19139654966166e+003
1.54216699689442e+000	3.69400340516545e+003
1.54216699689442e+000	6.10823156527331e+003
1.60071801230371e+000	1.07556328689049e+004
1.69273889228625e+000	1.42723736838329e+004
1.74612834345107e+000	1.67013622531341e+004
1.81242310124960e+000	2.01678090870541e+004
1.85801211102864e+000	2.08118103246494e+004
